"","TSNE_1","TSNE_2"
"C231122001_CELL1023_N4",-47.3520335266314,8.27243316679423
"C231122001_CELL1037_N5",-36.0172441004662,-17.9164634727092
"C231122001_CELL1047_N2",-20.7067669900017,-19.6493181725917
"C231122001_CELL1051_N2",-31.1511351655469,-12.6876373375568
"C231122001_CELL1076_N2",-55.8594529236968,-8.07210962911013
"C231122001_CELL1102_N2",-8.15552872568557,47.5149934757548
"C231122001_CELL1118_N2",-29.4421388409544,-23.2880778867963
"C231122001_CELL1126_N4",6.72987432392676,-7.24348113840624
"C231122001_CELL1139_N2",18.812500818221,-29.4279957318943
"C231122001_CELL115_N3",-47.7068760134666,-1.9467639858386
"C231122001_CELL1202_N1",22.4162781242667,-3.51812741721993
"C231122001_CELL1209_N5",-44.2887136412447,-10.0389884310987
"C231122001_CELL1224_N3",-9.45650592142573,-27.036010645935
"C231122001_CELL1235_N5",-5.50444940190187,-6.62670447670185
"C231122001_CELL1247_N2",-48.4533738946087,-2.83051131002364
"C231122001_CELL1250_N2",28.3472191721553,-1.91240046834051
"C231122001_CELL1284_N2",-14.3268058908783,-11.607325211264
"C231122001_CELL1313_N2",-8.06089985448568,-0.761176819079338
"C231122001_CELL1337_N2",-59.0573974763791,-6.7243167114358
"C231122001_CELL1363_N1",-23.5760283328347,-13.0412943332952
"C231122001_CELL1380_N2",-27.7481899172633,-16.5211927478425
"C231122001_CELL1388_N2",-30.0672322192238,-13.3441512853496
"C231122001_CELL1393_N1",17.4462071056944,-28.3521929579655
"C231122001_CELL141_N1",-28.9025347609908,-35.6191979154883
"C231122001_CELL1422_N2",-1.55774540014802,8.75921235403367
"C231122001_CELL1434_N3",3.60492580535406,-9.36206472752637
"C231122001_CELL1471_N2",3.72292266680333,57.9913221739831
"C231122001_CELL147_N2",-16.9739755040329,22.0907262058428
"C231122001_CELL1506_N1",-32.6927592068401,-39.0469823839149
"C231122001_CELL1514_N3",13.2896572298827,-2.66522407498309
"C231122001_CELL1547_N1",37.7208914677925,-11.0142618172901
"C231122001_CELL154_N1",-28.443240638987,-36.105548298089
"C231122001_CELL1564_N1",-32.840192281283,-13.1771471571097
"C231122001_CELL1580_N2",-0.195410095453223,8.87349800423355
"C231122001_CELL1584_N4",-60.2564044500426,-6.7301973158975
"C231122001_CELL1598_N2",-22.646922102724,-5.75458788510656
"C231122001_CELL1603_N1",-32.8085584110145,5.56410374081335
"C231122001_CELL1634_N2",2.5679119979717,11.417037685385
"C231122001_CELL1635_N3",3.58379980082206,-9.31738221088234
"C231122001_CELL1640_N2",-35.203842827789,36.1779521294842
"C231122001_CELL1650_N4",0.233318753208262,8.79396606218804
"C231122001_CELL1652_N4",-2.52635827850451,52.5587842112696
"C231122001_CELL166_N4",-31.3935284993185,-27.4596014514317
"C231122001_CELL175_N2",6.8596673903158,18.4864155143425
"C231122001_CELL1889_N1",12.7899228597078,-1.63943400299619
"C231122001_CELL1920_N1",45.1725878821051,2.32427384834175
"C231122001_CELL1950_N1",-14.9153718654922,-35.6256539928814
"C231122001_CELL1970_N1",-0.496478063379678,10.1791611214332
"C231122001_CELL1976_N1",44.8936464125539,4.75610711652367
"C231122001_CELL202_N3",-20.0350503690156,14.7113163507718
"C231122001_CELL2063_N1",-21.5558369961733,-28.7264491496236
"C231122001_CELL2090_N1",0.939639978718188,-7.82511163444361
"C231122001_CELL2100_N1",-25.4830734581757,-37.1166506585163
"C231122001_CELL210_N2",-18.6515333494979,-21.6816179783495
"C231122001_CELL2121_N1",-22.9851446905588,-32.5431598074883
"C231122001_CELL2145_N1",-26.5020019014253,5.40862997031326
"C231122001_CELL2226_N1",-19.4716503779644,-45.4565179708558
"C231122001_CELL2233_N1",-3.74008354571037,-45.516482446001
"C231122001_CELL2251_N1",-28.1560038781971,-16.7484037039938
"C231122001_CELL2266_N1",-9.65328152693896,-27.0944656975552
"C231122001_CELL2275_N1",-14.3099430707819,-51.7562812267122
"C231122001_CELL2284_N1",23.4085741396527,-27.7059845332643
"C231122001_CELL2342_N1",3.97483354853767,3.57204353314477
"C231122001_CELL237_N1",11.6489148839395,13.0976655636161
"C231122001_CELL2436_N1",-16.6510724113103,-19.2602106143443
"C231122001_CELL2451_N1",-31.0648864548817,-40.0085619324213
"C231122001_CELL2459_N1",21.6282639481662,17.4599547173862
"C231122001_CELL2464_N1",6.25100646043281,-34.8627921745906
"C231122001_CELL2504_N1",-7.16257280208142,-39.142577349799
"C231122001_CELL2547_N1",-4.10481712362045,-27.374607982441
"C231122001_CELL257_N2",-38.7525536906187,-9.12752464222502
"C231122001_CELL2586_N1",-5.33068039169384,-13.0633683394424
