,TSNE_1,TSNE_2,label
C230517005_CELL1000_N3,-0.63504699858801,-37.7150014178751,3
C230517005_CELL1013_N2,-23.5569965981631,48.58220616875,2
C230517005_CELL1025_N3,-34.7503849846154,-42.7059121454561,3
C230517005_CELL1031_N2,32.5068637557355,-4.74809281915194,1
C230517005_CELL1037_N2,42.5084925610814,13.596001314534,1
C230517005_CELL1038_N3,-17.8079295779582,-43.730288469918,3
C230517005_CELL1045_N2,-5.40804618094889,53.7106476873534,2
C230517005_CELL1053_N2,16.2852896158969,5.10108400689886,1
C230517005_CELL1058_N2,-5.92481384493467,21.776338099284,2
C230517005_CELL1063_N2,34.0126039731872,34.3213234134422,1
C230517005_CELL1064_N2,-10.063355501664,-34.4253557183335,3
C230517005_CELL1070_N2,-34.6357333002332,-42.6268603049105,3
C230517005_CELL1072_N3,2.32982403296205,-42.5499740504417,3
C230517005_CELL1112_N3,23.4312908994562,-33.3733478142403,3
C230517005_CELL1143_N2,16.2843951977068,5.099283435894,1
C230517005_CELL1160_N4,2.7691380095595,-40.4607312524661,3
C230517005_CELL1164_N2,-20.5597287392952,-38.2678193722125,3
C230517005_CELL1169_N2,-41.2935851556718,-34.7611916007105,0
C230517005_CELL116_N3,26.9762780253203,-9.31005672185082,1
C230517005_CELL1171_N1,21.4693920593478,-51.4034402328037,3
C230517005_CELL1172_N2,35.7674730623736,48.4898781884796,2
C230517005_CELL1176_N3,-30.5382774288732,19.1282077114674,0
C230517005_CELL1188_N2,-16.034688504829,-50.7260275469739,3
C230517005_CELL1193_N2,-14.5075996195476,24.0446893290605,2
C230517005_CELL1218_N2,-7.55551993483102,35.5805555193004,2
C230517005_CELL1222_N4,-20.4375979418345,20.270670132693,2
C230517005_CELL1226_N2,66.239127541883,-17.4205961483188,1
C230517005_CELL122_N2,17.4880583913213,-46.961562302306,3
C230517005_CELL1240_N2,-11.0485656062751,-38.1975945354436,3
C230517005_CELL1241_N2,25.8768239612133,13.1257002502336,1
C230517005_CELL1249_N2,8.01342731207678,9.41478718386979,2
C230517005_CELL1254_N1,42.2075832892578,2.65523483174423,1
C230517005_CELL1255_N2,2.45842198009952,-42.9361630387927,3
C230517005_CELL1263_N3,19.4716338121054,21.5532793681135,2
C230517005_CELL1271_N3,-20.3900634871313,20.2562411736368,2
C230517005_CELL1280_N2,6.44012368385054,18.2017924146976,2
C230517005_CELL1294_N3,-18.7858966440025,37.9138418103105,2
C230517005_CELL1300_N2,-32.9917938685856,12.0001185499941,0
C230517005_CELL1302_N3,-32.048480353152,40.8303518697451,2
C230517005_CELL1304_N2,11.3366493767475,7.49001736076726,2
C230517005_CELL1307_N1,21.4952507536916,-51.5963291033858,3
C230517005_CELL1309_N2,24.1060507675535,-51.3843409481739,3
C230517005_CELL1314_N2,40.6364800639645,-23.1304032922074,1
C230517005_CELL1315_N1,58.2329401299201,-29.5213232934885,1
C230517005_CELL1316_N3,-39.4337538576949,-42.1827903402624,3
C230517005_CELL1317_N2,9.73040767039528,-23.6048884388162,3
C230517005_CELL1320_N2,12.1971739658829,-38.9727118836898,3
C230517005_CELL1323_N1,16.7861501621601,5.22699897252012,1
C230517005_CELL1327_N4,-51.8415118536693,37.2595218173888,0
C230517005_CELL1332_N1,56.4691861637281,27.9331244926942,1
C230517005_CELL1334_N4,47.8803919032486,-2.73302581277342,1
C230517005_CELL1346_N2,29.9812161502145,19.0036088992576,1
C230517005_CELL1348_N2,6.18332098912298,-38.5418849760902,3
C230517005_CELL1360_N1,31.5937212701826,11.8140341594249,1
C230517005_CELL1361_N2,33.2191709547257,35.4136106499922,1
C230517005_CELL1363_N1,25.6852117087088,-39.4393516905705,3
C230517005_CELL1388_N2,21.9343569654683,34.626531321525,2
C230517005_CELL1392_N2,-21.8333920905315,56.2852653068255,2
C230517005_CELL1396_N3,-24.7194497672513,28.6650549350371,2
C230517005_CELL13_N1,-62.0144709239058,-2.99425403818914,0
C230517005_CELL1402_N2,-1.0529351288741,-14.3881001406117,3
C230517005_CELL1403_N2,1.42622931820359,-38.3350823544203,3
C230517005_CELL1406_N3,25.8309741289419,17.3547473464043,1
C230517005_CELL1408_N2,42.2284645259916,16.7704750481083,1
C230517005_CELL1418_N3,32.6589622229257,24.6199921364605,1
C230517005_CELL1424_N2,40.9312265012124,-23.6283302646859,1
C230517005_CELL1439_N3,-25.5578853770682,41.4408558579018,2
C230517005_CELL1440_N2,-51.359884560201,37.3907548996538,0
C230517005_CELL1446_N4,20.3825280087282,31.6316015758769,2
C230517005_CELL1452_N2,-17.1956747492226,-51.8019954564843,3
C230517005_CELL1459_N2,-12.679878350399,-50.9011968744888,3
C230517005_CELL1460_N2,23.4408999508212,-33.3698824264395,3
C230517005_CELL1472_N3,-16.3440604012877,-53.2757507358375,3
C230517005_CELL1475_N2,-4.23730148145487,-60.5534282487839,3
C230517005_CELL1476_N2,25.8015322948003,35.4382837301463,2
C230517005_CELL1485_N3,27.1269630119339,-51.2744856477054,3
C230517005_CELL148_N1,42.9518739555871,-15.8280688160194,1
C230517005_CELL1493_N2,10.9237174839008,-2.04408843842255,1
C230517005_CELL1497_N2,-19.4222321727684,33.3739586792656,2
C230517005_CELL1498_N2,-42.3094439202764,7.0530438137376,0
C230517005_CELL1501_N2,-16.578175900316,44.2954684308863,2
C230517005_CELL1506_N3,-13.1738799310409,-51.2379416190625,3
