,TSNE_1,TSNE_2,label
C230517003_CELL1060_N2,-37.8716802029737,19.0506146201342,2
C230517003_CELL1234_N1,34.0174525977751,44.3915318928277,1
C230517003_CELL1245_N1,-16.4910318216476,32.3037174061544,2
C230517003_CELL1258_N1,-41.6175646071492,33.6433675806107,2
C230517003_CELL1295_N1,-53.0170019118166,33.8834075954513,2
C230517003_CELL1333_N2,-55.5830301431617,-4.59234146344136,4
C230517003_CELL1391_N2,15.2131893424062,22.8618464704733,1
C230517003_CELL1417_N3,-33.6134729592957,50.1108343706791,2
C230517003_CELL145_N2,18.067111203706,61.5252356165524,1
C230517003_CELL1479_N1,-29.7745398391459,16.6102270340525,2
C230517003_CELL1491_N2,-57.6215782024706,6.54630788773931,2
C230517003_CELL1528_N5,-60.74667881845,-6.21832566031595,4
C230517003_CELL1550_N2,-41.0757705673743,31.1314703975177,2
C230517003_CELL1617_N1,-50.0130797191634,10.2066254459786,2
C230517003_CELL1631_N1,-62.3996087050696,9.56591194348914,2
C230517003_CELL167_N2,-33.6152602598886,50.1053031656407,2
C230517003_CELL1803_N1,-41.6175229523747,33.6462166066422,2
C230517003_CELL205_N2,-56.4859387058837,10.7050513922424,2
C230517003_CELL2076_N1,-8.72402798048677,6.60832751441878,4
C230517003_CELL2092_N1,-42.2052698777963,34.245719096728,2
C230517003_CELL2117_N1,-43.5122197626804,43.937124037758,2
C230517003_CELL2160_N1,-25.2302745326735,57.9143486177037,2
C230517003_CELL2191_N1,-25.0292494161886,43.6485223326227,2
C230517003_CELL232_N3,-38.7108243994984,25.2626825916367,2
C230517003_CELL2368_N1,-16.9010490338971,56.8330793484719,1
C230517003_CELL2409_N1,-59.5360635469198,26.5843480275965,2
C230517003_CELL248_N2,-31.4089237730233,24.7431297626718,2
C230517003_CELL2497_N1,-41.6551720644816,25.3514119413401,2
C230517003_CELL2555_N1,-49.53998819573,16.9891963537417,2
C230517003_CELL2850_N1,-20.5686715254487,22.4230390700325,2
C230517003_CELL2856_N1,-45.5937749726326,20.4455692767906,2
C230517003_CELL2915_N1,-57.2744173603952,24.7308905933888,2
C230517003_CELL297_N1,-32.7272485096357,50.7357723775924,2
C230517003_CELL3003_N1,-62.9091788595232,18.446691124655,2
C230517003_CELL304_N2,-7.02328834192642,57.274196145008,1
C230517003_CELL3055_N1,-41.1872882213478,36.8197031148797,2
C230517003_CELL3071_N1,-23.2424765005416,21.0398882821521,2
C230517003_CELL332_N3,-60.6824792198307,20.0026260240913,2
C230517003_CELL3401_N1,-67.4786221188873,21.4256730349848,2
C230517003_CELL3442_N1,-33.0928967378904,30.8202588539515,2
C230517003_CELL3567_N1,-23.3674539158448,51.5827700393916,2
C230517003_CELL3800_N1,-18.7274781516592,49.6764112980774,2
C230517003_CELL3862_N1,-28.5962892856903,24.3535932142701,2
C230517003_CELL3958_N1,-25.0543212614909,43.4782078590715,2
C230517003_CELL4015_N1,54.2831426176211,26.1023646408603,3
C230517003_CELL4057_N1,-42.99632945576,31.0904133365807,2
C230517003_CELL4058_N1,-55.5253782851881,16.4196954466643,2
C230517003_CELL405_N2,-29.7732335843473,22.573370623063,2
C230517003_CELL4165_N1,-28.2180045810227,43.0211603257943,2
C230517003_CELL4170_N1,-42.8870829889485,31.1528432602195,2
C230517003_CELL4227_N1,-22.3463136995868,31.9767492026022,2
C230517003_CELL4236_N1,-1.17379575656612,3.70546223072189,4
C230517003_CELL4262_N1,-49.4711261827182,14.4897244081787,2
C230517003_CELL4276_N1,-41.3734762882749,46.7879389132517,2
C230517003_CELL4422_N1,-43.5499442149558,43.8870349015503,2
C230517003_CELL4433_N1,-59.6560948761449,29.1146891562062,2
C230517003_CELL457_N1,-60.7182991687117,2.59356662508571,2
C230517003_CELL4622_N1,-29.3890080757764,54.6144000787299,2
C230517003_CELL4691_N1,-21.5029625941071,41.1697532421218,2
C230517003_CELL476_N2,-66.3157032015135,20.093292281799,2
C230517003_CELL4784_N1,36.1310354985064,36.4020722758079,1
C230517003_CELL4970_N1,-60.4191683518874,11.5848073558867,2
C230517003_CELL5070_N1,-52.3791728153533,-2.96034937678102,4
C230517003_CELL5170_N1,-43.2966996178406,23.1808313577104,2
C230517003_CELL5173_N1,-13.103437491304,50.5192016619759,1
C230517003_CELL5177_N1,-31.1094795396715,27.1392024122834,2
C230517003_CELL5186_N1,-55.815630834148,33.3932966102389,2
C230517003_CELL540_N2,-25.2474872671668,28.6118530560813,2
C230517003_CELL699_N3,-26.5684779384854,57.3759592473991,2
C230517003_CELL759_N2,14.9738764286938,22.7026882369972,1
C230517003_CELL802_N2,24.9279761669901,46.3051395168379,1
C230517003_CELL804_N2,-46.9626502096746,9.60094358627515,2
C230517003_CELL813_N2,-28.2678644352888,23.7637777452136,2
C230517003_CELL818_N2,-38.7451735201684,25.3930749297918,2
C230517003_CELL879_N2,-20.6449244494305,32.9402367891735,2
C230517003_CELL886_N2,-43.3463452732088,23.0372844282324,2
C230517003_CELL941_N3,-17.3964334491797,27.6568675958865,2
C230517003_CELL948_N3,-26.9187818733603,31.4486686396481,2
C230517004_CELL1034_N3,-21.8835969878077,51.1399635223661,2
C230517004_CELL1110_N1,27.4815019009975,50.5520570755251,1
C230517004_CELL1156_N2,-23.4387246989794,26.5095253733351,2
C230517004_CELL1230_N2,-22.911352728193,34.6353389244523,2
C230517004_CELL1275_N2,-37.0799681372349,13.7546442365675,2
C230517004_CELL1278_N3,-57.0839161183174,1.98964351362418,2
C230517004_CELL1296_N2,-13.0063867468532,49.4873085488818,1
C230517004_CELL12_N1,-43.9550220193856,44.1112599358393,2
C230517004_CELL1359_N3,17.6352065344049,-2.44985284290165,3
C230517004_CELL1412_N2,-65.6406847830072,21.5918880023467,2
C230517004_CELL1426_N1,-25.0281789516272,43.6484302314677,2
C230517004_CELL1471_N2,-22.9109302512964,34.6327174163276,2
C230517004_CELL1512_N3,-53.9052234823891,34.1827735497275,2
C230517004_CELL1569_N3,-28.3606247598539,24.8852261989262,2
C230517004_CELL158_N1,-36.046946720495,47.786151543156,2
C230517004_CELL160_N1,-15.0236985889426,58.1733801831576,1
C230517004_CELL1615_N2,-17.2624806160754,28.3654451429806,2
C230517004_CELL163_N3,-20.6440606174349,32.9395781839394,2
C230517004_CELL166_N1,-6.02725688891132,53.4549248438234,1
C230517004_CELL168_N2,-50.8475229256728,30.9382006539485,2
C230517004_CELL1731_N1,-12.9283672369438,50.4920023735748,1
C230517004_CELL1820_N1,-11.2827420178096,58.1219541096438,1
C230517004_CELL186_N1,-20.9139405491014,40.1294456705991,2
C230517004_CELL1880_N1,-28.6353389430219,17.7591685096785,2
C230517004_CELL1910_N1,-23.8340043818434,58.182818732705,2
C230517004_CELL194_N2,-34.2869564519801,30.0004106414756,2
C230517004_CELL1957_N1,-21.9652656064943,41.2945806336745,2
C230517004_CELL1993_N1,-33.6140794464966,50.0994327228508,2
C230517004_CELL2046_N1,-20.351077039393,30.8326430851709,2
C230517004_CELL2082_N1,-11.4519947751855,43.7881119204111,1
C230517004_CELL2092_N1,-29.1764617831411,17.2811689958428,2
